IPAddress;Hostname;Status
10.49.40.0;N/A;Ping fehlgeschlagen
10.49.40.1;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.2;N/A;Ping fehlgeschlagen
10.49.40.3;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.4;datlx106.do-dat.int;Erfolgreich gepingt
10.49.40.5;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.6;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.7;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.8;de-s-v-l-0035.do-dat.int;Erfolgreich gepingt
10.49.40.9;datlx151.do-dat.int;Erfolgreich gepingt
10.49.40.10;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.11;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.12;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.13;de-s-v-l-0053.DO-DAT.INT;Erfolgreich gepingt
10.49.40.14;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.15;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.16;N/A;Ping fehlgeschlagen
10.49.40.17;N/A;Ping fehlgeschlagen
10.49.40.18;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.19;de-s-v-l-0052.do-dat.int;Erfolgreich gepingt
10.49.40.20;N/A;Ping fehlgeschlagen
10.49.40.21;DATWIN002.DO-DAT.INT;Erfolgreich gepingt
10.49.40.22;unixadmin.do-dat.int;Erfolgreich gepingt
10.49.40.23;WIN-JJRG9AEMCE3.DO-DAT.INT;Erfolgreich gepingt
10.49.40.24;N/A;Ping fehlgeschlagen
10.49.40.25;DE-S-V-W-0029.DO-DAT.INT;Erfolgreich gepingt
10.49.40.26;N/A;Ping fehlgeschlagen
10.49.40.27;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.28;DE-S-V-W-0020.DO-DAT.INT;Erfolgreich gepingt
10.49.40.29;N/A;Ping fehlgeschlagen
10.49.40.30;de-s-v-l-0030.do-dat.int;Erfolgreich gepingt
10.49.40.31;DE-A-H-L-0002.DO-DAT.INT;Erfolgreich gepingt
10.49.40.32;N/A;Ping fehlgeschlagen
10.49.40.33;Reverse Lookup fehlgeschlagen;Erfolgreich gepingt
10.49.40.34;N/A;Ping fehlgeschlagen
10.49.40.35;N/A;Ping fehlgeschlagen
10.49.40.36;datlx187.do-dat.int;Erfolgreich gepingt
10.49.40.37;DE-S-V-W-0027.DO-DAT.INT;Erfolgreich gepingt
10.49.40.38;N/A;Ping fehlgeschlagen
10.49.40.39;N/A;Ping fehlgeschlagen
10.49.40.40;datlx171.do-dat.int;Erfolgreich gepingt
10.49.40.41;N/A;Ping fehlgeschlagen
10.49.40.42;DE-S-V-W-0037.DO-DAT.INT;Erfolgreich gepingt
10.49.40.43;de-s-v-l-0029.do-dat.int;Erfolgreich gepingt
10.49.40.44;de-s-v-l-0019.do-dat.int;Erfolgreich gepingt
10.49.40.45;N/A;Ping fehlgeschlagen
10.49.40.46;N/A;Ping fehlgeschlagen
10.49.40.47;datlx7.do-dat.int;Erfolgreich gepingt
10.49.40.48;datlx31-neu.do-dat.int;Erfolgreich gepingt
10.49.40.49;datlx52.do-dat.int;Erfolgreich gepingt
10.49.40.50;N/A;Ping fehlgeschlagen
10.49.40.51;DE-S-V-W-0031.DO-DAT.INT;Erfolgreich gepingt
10.49.40.52;DATWIN64.DO-DAT.INT;Erfolgreich gepingt
10.49.40.53;datlx34-neu.do-dat.int;Erfolgreich gepingt
10.49.40.54;datlx33-neu.do-dat.int;Erfolgreich gepingt
10.49.40.55;datlx127.do-dat.int;Erfolgreich gepingt
10.49.40.56;N/A;Ping fehlgeschlagen
10.49.40.57;datlx22.do-dat.int;Erfolgreich gepingt
10.49.40.58;datgroup.dat.de;Erfolgreich gepingt
10.49.40.59;datlx188.do-dat.int;Erfolgreich gepingt
10.49.40.60;N/A;Ping fehlgeschlagen
10.49.40.61;de-s-v-l-0025.do-dat.int;Erfolgreich gepingt
10.49.40.62;datlx54-neu.do-dat.int;Erfolgreich gepingt
10.49.40.63;datlx29.do-dat.int;Erfolgreich gepingt
10.49.40.64;datlx31.do-dat.int;Erfolgreich gepingt
10.49.40.65;datlx33.do-dat.int;Erfolgreich gepingt
10.49.40.66;datlx34.do-dat.int;Erfolgreich gepingt
10.49.40.67;N/A;Ping fehlgeschlagen
10.49.40.68;N/A;Ping fehlgeschlagen
10.49.40.69;Datlx149.do-dat.int;Erfolgreich gepingt
10.49.40.70;N/A;Ping fehlgeschlagen
10.49.40.71;datlx38.do-dat.int;Erfolgreich gepingt
10.49.40.72;de-s-v-l-0017.do-dat.int;Erfolgreich gepingt
10.49.40.73;N/A;Ping fehlgeschlagen
10.49.40.74;N/A;Ping fehlgeschlagen
10.49.40.75;de-s-v-l-0023.do-dat.int;Erfolgreich gepingt
10.49.40.76;datlx76.do-dat.int;Erfolgreich gepingt
10.49.40.77;N/A;Ping fehlgeschlagen
10.49.40.78;de-s-v-l-0024.do-dat.int;Erfolgreich gepingt
10.49.40.79;datlx79.do-dat.int;Erfolgreich gepingt
10.49.40.80;N/A;Ping fehlgeschlagen
10.49.40.81;de-s-v-l-0026.do-dat.int;Erfolgreich gepingt
10.49.40.82;N/A;Ping fehlgeschlagen
10.49.40.83;datlx93.do-dat.int;Erfolgreich gepingt
10.49.40.84;datlx94.do-dat.int;Erfolgreich gepingt
10.49.40.85;N/A;Ping fehlgeschlagen
10.49.40.86;N/A;Ping fehlgeschlagen
10.49.40.87;de-s-v-l-0027.do-dat.int;Erfolgreich gepingt
10.49.40.88;datlx150.do-dat.int;Erfolgreich gepingt
10.49.40.89;N/A;Ping fehlgeschlagen
10.49.40.90;de-a-v-l-0004.do-dat.int;Erfolgreich gepingt
10.49.40.91;N/A;Ping fehlgeschlagen
10.49.40.92;N/A;Ping fehlgeschlagen
10.49.40.93;N/A;Ping fehlgeschlagen
10.49.40.94;N/A;Ping fehlgeschlagen
10.49.40.95;N/A;Ping fehlgeschlagen
10.49.40.96;N/A;Ping fehlgeschlagen
10.49.40.97;N/A;Ping fehlgeschlagen
10.49.40.98;N/A;Ping fehlgeschlagen
10.49.40.99;datlx45.do-dat.int;Erfolgreich gepingt
10.49.40.100;N/A;Ping fehlgeschlagen
10.49.40.101;N/A;Ping fehlgeschlagen
10.49.40.102;datlx106-neu.do-dat.int;Erfolgreich gepingt
10.49.40.103;DE-S-V-W-0028.DO-DAT.INT;Erfolgreich gepingt
10.49.40.104;N/A;Ping fehlgeschlagen
10.49.40.105;N/A;Ping fehlgeschlagen
10.49.40.106;N/A;Ping fehlgeschlagen
10.49.40.107;N/A;Ping fehlgeschlagen
10.49.40.108;N/A;Ping fehlgeschlagen
10.49.40.109;N/A;Ping fehlgeschlagen
10.49.40.110;N/A;Ping fehlgeschlagen
10.49.40.111;xa00001.do-dat.int;Erfolgreich gepingt
10.49.40.112;N/A;Ping fehlgeschlagen
10.49.40.113;N/A;Ping fehlgeschlagen
10.49.40.114;N/A;Ping fehlgeschlagen
10.49.40.115;N/A;Ping fehlgeschlagen
10.49.40.116;datlx54.do-dat.int;Erfolgreich gepingt
10.49.40.117;N/A;Ping fehlgeschlagen
10.49.40.118;DATWIN11.DO-DAT.INT;Erfolgreich gepingt
10.49.40.119;N/A;Ping fehlgeschlagen
10.49.40.120;de-s-v-w-0030.do-dat.int;Erfolgreich gepingt
10.49.40.121;N/A;Ping fehlgeschlagen
10.49.40.122;N/A;Ping fehlgeschlagen
10.49.40.123;N/A;Ping fehlgeschlagen
10.49.40.124;N/A;Ping fehlgeschlagen
10.49.40.125;N/A;Ping fehlgeschlagen
10.49.40.126;DATWIN31.DO-DAT.INT;Erfolgreich gepingt
10.49.40.127;N/A;Ping fehlgeschlagen
10.49.40.128;N/A;Ping fehlgeschlagen
10.49.40.129;N/A;Ping fehlgeschlagen
10.49.40.130;N/A;Ping fehlgeschlagen
10.49.40.131;datisp01-idrac.do-dat.int;Erfolgreich gepingt
10.49.40.132;datisp01.do-dat.int;Erfolgreich gepingt
10.49.40.133;N/A;Ping fehlgeschlagen
10.49.40.134;N/A;Ping fehlgeschlagen
10.49.40.135;N/A;Ping fehlgeschlagen
10.49.40.136;DATWIN32_NEU.DO-DAT.INT;Erfolgreich gepingt
10.49.40.137;de-a-v-l-0002.do-dat.int;Erfolgreich gepingt
10.49.40.138;datisp02.do-dat.int;Erfolgreich gepingt
10.49.40.139;N/A;Ping fehlgeschlagen
10.49.40.140;datlx50.do-dat.int;Erfolgreich gepingt
10.49.40.141;N/A;Ping fehlgeschlagen
10.49.40.142;N/A;Ping fehlgeschlagen
10.49.40.143;N/A;Ping fehlgeschlagen
10.49.40.144;N/A;Ping fehlgeschlagen
10.49.40.145;N/A;Ping fehlgeschlagen
10.49.40.146;N/A;Ping fehlgeschlagen
10.49.40.147;N/A;Ping fehlgeschlagen
10.49.40.148;N/A;Ping fehlgeschlagen
10.49.40.149;N/A;Ping fehlgeschlagen
10.49.40.150;datwin050.do-dat.int;Erfolgreich gepingt
10.49.40.151;de-a-v-l-0005.do-dat.int;Erfolgreich gepingt
10.49.40.152;N/A;Ping fehlgeschlagen
10.49.40.153;N/A;Ping fehlgeschlagen
10.49.40.154;N/A;Ping fehlgeschlagen
10.49.40.155;N/A;Ping fehlgeschlagen
10.49.40.156;N/A;Ping fehlgeschlagen
10.49.40.157;N/A;Ping fehlgeschlagen
10.49.40.158;N/A;Ping fehlgeschlagen
10.49.40.159;N/A;Ping fehlgeschlagen
10.49.40.160;N/A;Ping fehlgeschlagen
10.49.40.161;N/A;Ping fehlgeschlagen
10.49.40.162;N/A;Ping fehlgeschlagen
10.49.40.163;N/A;Ping fehlgeschlagen
10.49.40.164;N/A;Ping fehlgeschlagen
10.49.40.165;N/A;Ping fehlgeschlagen
10.49.40.166;N/A;Ping fehlgeschlagen
10.49.40.167;N/A;Ping fehlgeschlagen
10.49.40.168;N/A;Ping fehlgeschlagen
10.49.40.169;N/A;Ping fehlgeschlagen
10.49.40.170;N/A;Ping fehlgeschlagen
10.49.40.171;N/A;Ping fehlgeschlagen
10.49.40.172;N/A;Ping fehlgeschlagen
10.49.40.173;N/A;Ping fehlgeschlagen
10.49.40.174;N/A;Ping fehlgeschlagen
10.49.40.175;N/A;Ping fehlgeschlagen
10.49.40.176;N/A;Ping fehlgeschlagen
10.49.40.177;DATWIN77.DO-DAT.INT;Erfolgreich gepingt
10.49.40.178;N/A;Ping fehlgeschlagen
10.49.40.179;N/A;Ping fehlgeschlagen
10.49.40.180;N/A;Ping fehlgeschlagen
10.49.40.181;DATWIN81.DO-DAT.INT;Erfolgreich gepingt
10.49.40.182;N/A;Ping fehlgeschlagen
10.49.40.183;DATWIN83.DO-DAT.INT;Erfolgreich gepingt
10.49.40.184;N/A;Ping fehlgeschlagen
10.49.40.185;N/A;Ping fehlgeschlagen
10.49.40.186;DATWIN86.DO-DAT.INT;Erfolgreich gepingt
